'CardName', 'Timespan', 'Edition', 'Current Price', 'Minimum in Epoch', 'Date of Epoch Min', 'Percent change Current Price from Epoch Min', 'Standard Dev'
Mox Pearl,ALL_TIME,2ED,6709.99,515.97,2013-09-12 19:00:00,1200.46,1180.826
Mox Emerald,ONE_MONTH,2ED,8500.0,7605.0,2021-06-09 01:14:47,11.77,186.62
Mox Emerald,THREE_MONTHS,2ED,8500.0,5567.75,2021-04-10 01:15:26,52.66,843.618
Mox Emerald,ONE_YEAR,2ED,8500.0,2387.74,2020-07-12 01:14:48,255.99,2015.227
Mox Emerald,TWO_YEARS,2ED,8500.0,2387.74,2020-07-12 01:14:48,255.99,1626.967
Mox Emerald,ALL_TIME,2ED,8500.0,542.67,2012-06-12 19:00:00,1466.33,1335.144
Mox Emerald,ONE_YEAR,LEA,5999.99,5999.99,2020-07-09 01:16:14,0.0,0.0
Mox Emerald,TWO_YEARS,LEA,5999.99,5499.5,2020-01-11 01:14:45,9.1,1315.754
Mox Emerald,ALL_TIME,LEA,5999.99,799.95,2013-06-27 19:00:00,650.05,2159.456
Mox Emerald,ONE_YEAR,LEB,8500.0,8500.0,2020-07-09 01:17:23,0.0,0.0
Mox Emerald,TWO_YEARS,LEB,8500.0,6250.0,2019-07-25 01:13:07,36.0,470.503
Mox Emerald,ALL_TIME,LEB,8500.0,648.99,2013-10-26 19:00:00,1209.73,2496.673
Mox Jet,ONE_MONTH,2ED,7800.0,7699.99,2021-06-09 01:14:47,1.3,149.397
Mox Jet,THREE_MONTHS,2ED,7800.0,3959.99,2021-04-10 01:15:26,96.97,1503.336
Mox Jet,ONE_YEAR,2ED,7800.0,2099.99,2020-07-15 01:15:57,271.43,1834.768
Mox Jet,TWO_YEARS,2ED,7800.0,1300.0,2019-09-19 01:16:38,500.0,1551.544
Mox Jet,ALL_TIME,2ED,7800.0,631.36,2012-06-12 19:00:00,1135.43,1213.935
Mox Jet,ONE_YEAR,LEB,4499.99,4249.97,2020-10-08 01:16:49,5.88,124.223
Mox Jet,TWO_YEARS,LEB,4499.99,3999.95,2019-11-29 01:14:37,12.5,195.176
Mox Jet,ALL_TIME,LEB,4499.99,542.77,2013-02-12 18:00:00,729.08,1209.405
Mox Jet,ONE_YEAR,LEA,8799.99,8799.99,2020-09-26 01:16:26,0.0,0.0
Mox Jet,TWO_YEARS,LEA,8799.99,5399.99,2019-08-17 01:14:24,62.96,375.533
Mox Jet,ALL_TIME,LEA,8799.99,1099.99,2012-11-06 18:00:00,700.01,2850.556
Mishra's Workshop,ONE_MONTH,ATQ,4775.0,4750.0,2021-06-25 01:15:40,0.53,12.039
Mishra's Workshop,THREE_MONTHS,ATQ,4775.0,4450.0,2021-04-17 01:15:34,7.3,249.239
Mishra's Workshop,ONE_YEAR,ATQ,4775.0,1595.0,2020-07-09 01:11:23,199.37,2480.551
Mishra's Workshop,TWO_YEARS,ATQ,4775.0,1420.47,2020-06-19 01:10:29,236.16,2516.17
Mishra's Workshop,ALL_TIME,ATQ,4775.0,341.18,2012-07-21 19:00:00,1299.55,1663.909
Mox Sapphire,TWO_YEARS,LEB,6049.99,5499.99,2020-01-21 01:13:55,10.0,1979.772
Mox Sapphire,ALL_TIME,LEB,6049.99,1292.84,2013-10-02 19:00:00,367.96,1471.567
Mox Sapphire,ONE_MONTH,LEA,19775.0,17975.0,2021-06-09 01:14:51,10.01,929.516
Mox Sapphire,THREE_MONTHS,LEA,19775.0,17975.0,2021-05-02 01:14:14,10.01,641.427
Mox Sapphire,ONE_YEAR,LEA,19775.0,17975.0,2021-05-02 01:14:14,10.01,641.427
Mox Sapphire,TWO_YEARS,LEA,19775.0,6400.0,2020-02-26 01:12:48,208.98,3065.049
Mox Sapphire,ALL_TIME,LEA,19775.0,1775.31,2014-02-20 18:00:00,1013.89,3215.22
Mox Sapphire,ONE_MONTH,2ED,11000.0,11000.0,2021-06-09 01:14:47,0.0,0.0
Mox Sapphire,THREE_MONTHS,2ED,11000.0,6739.2,2021-04-21 01:14:46,63.22,849.803
Mox Sapphire,ONE_YEAR,2ED,11000.0,2399.99,2020-07-09 01:16:57,358.34,3278.797
Mox Sapphire,TWO_YEARS,2ED,11000.0,2399.99,2020-06-17 01:14:33,358.34,2656.762
Mox Sapphire,ALL_TIME,2ED,11000.0,692.98,2014-01-26 18:00:00,1487.35,1713.006
The Tabernacle at Pendrell Vale,ONE_MONTH,LEG,6925.0,6500.0,2021-06-09 01:14:35,6.54,481.894
The Tabernacle at Pendrell Vale,THREE_MONTHS,LEG,6925.0,5000.0,2021-06-03 01:14:37,38.5,583.538
The Tabernacle at Pendrell Vale,ONE_YEAR,LEG,6925.0,1600.0,2020-10-03 01:15:42,332.81,2507.358
The Tabernacle at Pendrell Vale,TWO_YEARS,LEG,6925.0,1600.0,2020-10-03 01:15:42,332.81,2149.254
The Tabernacle at Pendrell Vale,ALL_TIME,LEG,6925.0,296.86,2012-08-04 19:00:00,2232.75,1505.435
Time Walk,ONE_YEAR,LEA,5999.99,5999.99,2020-07-09 01:16:12,0.0,0.0
Time Walk,TWO_YEARS,LEA,5999.99,5999.99,2020-04-16 01:14:37,0.0,242.984
Time Walk,ALL_TIME,LEA,5999.99,1.0,2012-06-09 19:00:00,599899.0,1718.773
Time Walk,ONE_MONTH,LEB,9000.0,9000.0,2021-06-09 01:14:50,0.0,0.0
Time Walk,THREE_MONTHS,LEB,9000.0,9000.0,2021-06-05 01:14:58,0.0,0.0
Time Walk,ONE_YEAR,LEB,9000.0,3849.97,2021-02-05 01:15:57,133.77,1288.623
Time Walk,TWO_YEARS,LEB,9000.0,3849.97,2021-02-05 01:15:57,133.77,887.877
Time Walk,ALL_TIME,LEB,9000.0,1.0,2012-06-09 19:00:00,899900.0,1337.557
Time Walk,ONE_MONTH,2ED,4737.5,4000.0,2021-06-13 01:15:30,18.44,347.648
Time Walk,THREE_MONTHS,2ED,4737.5,3750.0,2021-04-10 01:15:26,26.33,236.566
Time Walk,ONE_YEAR,2ED,4737.5,2399.99,2020-07-15 01:16:03,97.4,584.904
Time Walk,TWO_YEARS,2ED,4737.5,2399.99,2020-07-15 01:16:03,97.4,504.905
Time Walk,ALL_TIME,2ED,4737.5,625.31,2014-01-22 18:00:00,657.62,871.124
Bazaar of Baghdad,ONE_MONTH,ARN,4302.8,4299.99,2021-06-19 01:16:32,0.07,1.005
Bazaar of Baghdad,THREE_MONTHS,ARN,4302.8,4179.99,2021-05-24 01:14:45,2.94,37.856
Bazaar of Baghdad,ONE_YEAR,ARN,4302.8,1500.0,2021-01-05 01:11:22,186.85,1406.57
Bazaar of Baghdad,TWO_YEARS,ARN,4302.8,1159.99,2020-04-14 01:08:47,270.93,1260.868
Bazaar of Baghdad,ALL_TIME,ARN,4302.8,260.97,2012-07-21 19:00:00,1548.77,961.832
Gaea's Cradle,ALL_TIME,,367.73,249.36,2013-05-22 19:00:00,47.47,50.293
Gaea's Cradle,ONE_MONTH,USG,1000.99,1000.0,2021-06-09 01:14:12,0.1,17.923
